"incident_no","date","time","vehicle_type","role","location","Latitude","Longitude","city","injured","killed","year"
18104049,2018-01-23,08:59:00,"FARM EQUIPMENT","DRIVER","ENCINITAS BOULEVARD & S RANCHO SANTA FE ROAD, ENCINITAS, CA 92024",33.0372529,-117.23872,"ENCINITAS",0,0,2018
18104186,2018-01-23,21:34:00,"LIGHT DUTY TRUCK","DRIVER","1201 N VULCAN AVENUE, ENCINITAS, CA 92024",33.0698616,-117.3031099,"ENCINITAS",1,0,2018
18104198,2018-01-23,22:50:00,"LIGHT DUTY TRUCK","DRIVER","2274 CAROL VIEW DRIVE, ENCINITAS, CA 92007",33.0225338,-117.2744546,"ENCINITAS",0,0,2018
18104527,2018-01-25,13:24:00,"AUTOMOBILE","DRIVER","N EL CAMINO REAL & GARDEN VIEW ROAD, ENCINITAS, CA 92024",33.0584079,-117.2626296,"ENCINITAS",2,0,2018
18104916,2018-01-27,13:37:00,"LIGHT DUTY TRUCK","DRIVER","0 P/L OF 194 N EL CAMINO REAL , ENCINITAS, CA 92024",33.0483617,-117.2601254,"ENCINITAS",0,0,2018
18105087,2018-01-28,17:07:00,"FARM EQUIPMENT","DRIVER","SAN DIEGUITO DRIVE & JIMMY DURANTE BOULEVARD, DEL MAR, CA 92014",32.9718893,-117.2608565,"DEL MAR",0,0,2018
18105651,2018-01-31,14:08:00,"LIGHT DUTY TRUCK","BICYCLIST","1701 CAMINO DEL MAR, DEL MAR, CA 92014",32.962827,-117.2651674,"DEL MAR",1,0,2018
18105659,2018-01-31,14:34:00,"AUTOMOBILE","DRIVER","S EL CAMINO REAL & Encinitas, ENCINITAS, CA 92024",33.0459245,-117.2596774,"ENCINITAS",0,0,2018
18105935,2018-02-01,16:32:00,"AUTOMOBILE","DRIVER","VIA MONTORO & North El Camino Real, ENCINITAS, CA 92024",33.0529031,-117.2613062,"ENCINITAS",1,0,2018
18106070,2018-02-02,10:22:00,"TRAILER","DRIVER","CORNISH DRIVE & E F STREET, ENCINITAS, CA 92024",33.0400113,-117.2902546,"ENCINITAS",0,0,2018
18106860,2018-02-02,14:20:00,"FARM EQUIPMENT","DRIVER","2081 SAN ELIJO AVENUE, ENCINITAS, CA 92007",33.021998,-117.2822962,"ENCINITAS",0,0,2018
18106129,2018-02-02,15:29:00,"MOTORCYCLE","DRIVER","2004 GLASGOW AVENUE, ENCINITAS, CA 92007",33.0251108,-117.2783163,"ENCINITAS",0,0,2018
18106261,2018-02-03,01:00:00,NA,"DRIVER","NEPTUNE AVENUE & DAPHNE STREET, ENCINITAS, CA 92024",33.063833,-117.3039626,"ENCINITAS",0,0,2018
18106317,2018-02-03,13:33:00,"AUTOMOBILE","DRIVER","NEWCASTLE AVENUE & LIVERPOOL DRIVE, ENCINITAS, CA 92007",33.0226114,-117.2794246,"ENCINITAS",0,0,2018
18106311,2018-02-03,13:49:00,"FARM EQUIPMENT","DRIVER","TOWN CENTER PLACE & LEUCADIA BOULEVARD, ENCINITAS, CA 92024",33.0679064,-117.2649266,"ENCINITAS",0,0,2018
18106472,2018-02-04,15:28:00,"FARM EQUIPMENT","DRIVER","N COAST HIGHWAY 101 & PHOEBE STREET, ENCINITAS, CA 92024",33.0694055,-117.303974,"ENCINITAS",0,0,2018
18106643,2018-02-05,11:30:00,"FARM EQUIPMENT","DRIVER","0 P/L OF 820 BIRMINGHAM DRIVE, CARDIFF BY THE SEA, CA 92007",33.0269392,-117.2734098,"CARDIFF BY THE SEA",0,0,2018
